OPTION CODE,LAND USE CODE,DESCRIPTION,,
HEF3,LG19,MIXED CROP - LEGUMINOUS ONLY 5,,
HEF3,LG20,FIELD BEANS - WINTER,,
HEF3,LG21,PEAS - WINTER,,
HEF3,NF01,SCATTERED ROCK,,
HEF3,NF02,SCATTERED BRACKEN,,
HEF3,NF03,SCATTERED SCRUB,,
HEF3,NF04,SCATTERED TREES,,
HEF3,NF05,SCATTERED WATER FEATURES,,
HEF3,NF06,SCATTERED NATURAL FEATURES,,
HEF3,PG01,PERMANENT GRASSLAND,,
HEF3,PG02,PERMANENT GRASS BUFFER STRIP ,,
HEF3,TG01,TEMPORARY GRASS,,
HEF4,PG01,PERMANENT GRASSLAND,,
HEF5,NF03,SCATTERED SCRUB,,
HEF5,PG01,PERMANENT GRASSLAND,,
HEF5,WO25,SCRUB - UNGRAZEABLE,,
HEF6,PG01,PERMANENT GRASSLAND,,
HEF7,ABS01,TEMPORARY GRASS BUFFER STRIP ,,
HEF8,AC01,BARLEY - SPRING,,
HEF8,AC02,BASIL ,,
HEF8,AC03,BEET ,,
HEF8,AC04,BORAGE ,,
HEF8,AC05,BUCKWHEAT ,,
HEF8,AC06,CANARY SEED ,,
HEF8,AC07,CARROT ,,
HEF8,AC08,CELERY ,,
HEF8,AC09,CHICORY ,,
HEF8,AC10,DAFFODIL ,,
HEF8,AC100,RYEGRASS (ITALIAN) - GROWN FOR SEED PRODUCTION,,
HEF8,AC11,DILL ,,
HEF8,AC12,EVENING PRIMROSE ,,
HEF8,AC13,FENNEL ,,
HEF8,AC14,HEMP ,,
HEF8,AC15,LETTUCE ,,
HEF8,AC16,LINSEED - SPRING,,
HEF8,AC17,MAIZE ,,
HEF8,AC18,MILLET ,,
HEF8,AC19,OATS - SPRING,,
HEF8,AC20,ONIONS ,,
HEF8,AC21,OREGANO ,,
HEF8,AC22,PARSLEY ,,
HEF8,AC23,PARSNIPS ,,
HEF8,AC24,RYE - SPRING,,
HEF8,AC25,SAGE ,,
HEF8,AC26,SPINACH ,,
HEF8,AC27,STRAWBERRY ,,
HEF8,AC28,SWEET POTATO ,,
HEF8,AC29,THYME ,,
HEF8,AC30,TRITICALE - SPRING,,
HEF8,AC31,TULIP ,,
HEF8,AC32,WHEAT - SPRING,,
HEF8,AC33,YAM ,,
HEF8,AC34,CABBAGE - SPRING,,
HEF8,AC35,TURNIP ,,
HEF8,AC36,OILSEED - SPRING,,
HEF8,AC37,BROWN MUSTARD ,,
HEF8,AC38,MUSTARD ,,
HEF8,AC39,CRAMBE ,,
HEF8,AC40,ROCKET ,,
HEF8,AC41,RADISH ,,
HEF8,AC42,HORSERADISH ,,
HEF8,AC43,TOBACCO ,,
HEF8,AC44,POTATO ,,
HEF8,AC45,TOMATO ,,
HEF8,AC46,AUBERGINE ,,
HEF8,AC47,PEPPER ,,
HEF8,AC48,CHILLI ,,
HEF8,AC49,TREE CHILLI ,,
HEF8,AC50,SQUASH ,,
HEF8,AC51,JAPANESE PIE SQUASH ,,
HEF8,AC52,SIAM PUMPKIN ,,
HEF8,AC53,BANANA SQUASH ,,
HEF8,AC54,BUTTERNUT SQUASH ,,
HEF8,AC55,WATER MELON ,,
HEF8,AC56,CUCUMBER ,,
HEF8,AC57,MELON ,,
HEF8,AC58,MIXED CROP - GROUP 1,,
HEF8,AC59,MIXED CROP - GROUP 2,,
HEF8,AC60,MIXED CROP - GROUP 3,,
HEF8,AC61,MIXED CROP - GROUP 4,,
HEF8,AC62,MIXED CROP - GROUP 5,,
HEF8,AC63,BARLEY - WINTER,,
HEF8,AC64,LINSEED - WINTER,,
HEF8,AC65,OATS - WINTER,,
HEF8,AC66,WHEAT - WINTER,,
HEF8,AC67,OILSEED - WINTER,,
HEF8,AC68,RYE - WINTER,,
HEF8,AC69,TRITICALE - WINTER,,
HEF8,AC70,CABBAGE - WINTER,,
HEF8,AC71,CORIANDER,,
HEF8,AC72,CORN GROMWELL,,
HEF8,AC73,CAMELINA,,
HEF8,AC74,PHACELIA,,
HEF8,AC75,OCA,,
HEF8,AC76,GERMAN CHAMOMILE,,
HEF8,AC77,CORN CHAMOMILE,,
HEF8,AC78,CORN COCKLE,,
HEF8,AC79,CORN FLOWER,,
HEF8,AC80,CORN MARIGOLD,,
HEF8,AC81,POPPY,,
HEF8,AC82,FIELD FOR-GET-ME-NOT,,
HEF8,AC83,FOX-GLOVE,,
HEF8,AC84,HAY RATTLE,,
HEF8,AC85,HEDGE BEDSTRAW,,
HEF8,AC86,TEASEL,,
HEF8,AC87,QUINOA,,
HEF8,AC88,SUNFLOWER,,
HEF8,AC89,CRESS,,
HEF8,AC90,GLADIOLI,,
HEF8,AC91,ECHIUM,,
HEF8,AC92,SORGHUM,,
HEF8,AC93,STICKY NIGHTSHADE,,
HEF8,AC94,SWEET WILLIAMS,,
HEF8,AC95,WALLFLOWER,,
HEF8,AC96,SAMPHIRE,,
HEF8,AC97,ASTER (CHINESE),,
HEF8,AC98,LARKSPUR,,
HEF8,AC99,NIGELLA,,
HEF8,CW01,WATERCRESS,,
HEF8,FA01,FALLOW,,
HEF8,LG01,CHICKPEA,,
HEF8,LG02,FENUGREEK,,
HEF8,LG03,FIELD BEANS - SPRING,,
HEF8,LG04,GREEN BEANS,,
HEF8,LG05,LENTILS,,
HEF8,LG06,LUPINS,,
HEF8,LG07,PEAS - SPRING,,
HEF8,LG08,SOYA,,
HEF8,LG09,COWPEA,,
HEF8,LG10,BIRD'S FOOT TREFOIL,,
HEF8,LG11,LUCERNE,,
HEF8,LG12,SWEET CLOVER,,
HEF8,LG13,SAINFOIN,,
HEF8,LG14,CLOVER,,
HEF8,LG15,MIXED CROP - LEGUMINOUS ONLY 1,,
HEF8,LG16,MIXED CROP - LEGUMINOUS ONLY 2,,
HEF8,LG17,MIXED CROP - LEGUMINOUS ONLY 3,,
HEF8,LG18,MIXED CROP - LEGUMINOUS ONLY 4,,
HEF8,LG19,MIXED CROP - LEGUMINOUS ONLY 5,,
HEF8,LG20,FIELD BEANS - WINTER,,
HEF8,LG21,PEAS - WINTER,,
HEF8,PG01,PERMANENT GRASSLAND,,
HEF8,TG01,TEMPORARY GRASS,,
HEF8,WO12,MIXED WOODLAND,,
HRW1,AB01,FARM BUILDING,,
HRW1,AB06,GLASSHOUSE ,,
HRW1,AB09,FARMYARDS,,
HRW1,AC01,BARLEY - SPRING,,
HRW1,AC02,BASIL ,,
HRW1,AC03,BEET ,,
HRW1,AC04,BORAGE ,,
HRW1,AC05,BUCKWHEAT ,,
HRW1,AC06,CANARY SEED ,,
HRW1,AC07,CARROT ,,
HRW1,AC08,CELERY ,,
HRW1,AC09,CHICORY ,,
HRW1,AC10,DAFFODIL ,,
HRW1,AC100,RYEGRASS (ITALIAN) - GROWN FOR SEED PRODUCTION,,
HRW1,AC11,DILL ,,
HRW1,AC12,EVENING PRIMROSE ,,
HRW1,AC13,FENNEL ,,
HRW1,AC14,HEMP ,,
HRW1,AC15,LETTUCE ,,
HRW1,AC16,LINSEED - SPRING,,
HRW1,AC17,MAIZE ,,
HRW1,AC18,MILLET ,,
HRW1,AC19,OATS - SPRING,,
HRW1,AC20,ONIONS ,,
HRW1,AC21,OREGANO ,,
HRW1,AC22,PARSLEY ,,
HRW1,AC23,PARSNIPS ,,
HRW1,AC24,RYE - SPRING,,
HRW1,AC25,SAGE ,,
HRW1,AC26,SPINACH ,,
HRW1,AC27,STRAWBERRY ,,
HRW1,AC28,SWEET POTATO ,,
HRW1,AC29,THYME ,,
HRW1,AC30,TRITICALE - SPRING,,
HRW1,AC31,TULIP ,,
HRW1,AC32,WHEAT - SPRING,,
HRW1,AC33,YAM ,,
HRW1,AC34,CABBAGE - SPRING,,
HRW1,AC35,TURNIP ,,
HRW1,AC36,OILSEED - SPRING,,
HRW1,AC37,BROWN MUSTARD ,,
HRW1,AC38,MUSTARD ,,
HRW1,AC39,CRAMBE ,,
HRW1,AC40,ROCKET ,,
HRW1,AC41,RADISH ,,
HRW1,AC42,HORSERADISH ,,
HRW1,AC43,TOBACCO ,,
HRW1,AC44,POTATO ,,
HRW1,AC45,TOMATO ,,
HRW1,AC46,AUBERGINE ,,
HRW1,AC47,PEPPER ,,
HRW1,AC48,CHILLI ,,
HRW1,AC49,TREE CHILLI ,,
HRW1,AC50,SQUASH ,,
HRW1,AC51,JAPANESE PIE SQUASH ,,
HRW1,AC52,SIAM PUMPKIN ,,
HRW1,AC53,BANANA SQUASH ,,
HRW1,AC54,BUTTERNUT SQUASH ,,
HRW1,AC55,WATER MELON ,,
HRW1,AC56,CUCUMBER ,,
HRW1,AC57,MELON ,,
HRW1,AC58,MIXED CROP - GROUP 1,,
HRW1,AC59,MIXED CROP - GROUP 2,,
HRW1,AC60,MIXED CROP - GROUP 3,,
HRW1,AC61,MIXED CROP - GROUP 4,,
HRW1,AC62,MIXED CROP - GROUP 5,,
HRW1,AC63,BARLEY - WINTER,,
HRW1,AC64,LINSEED - WINTER,,
HRW1,AC65,OATS - WINTER,,
HRW1,AC66,WHEAT - WINTER,,
HRW1,AC67,OILSEED - WINTER,,
HRW1,AC68,RYE - WINTER,,
HRW1,AC69,TRITICALE - WINTER,,
HRW1,AC70,CABBAGE - WINTER,,
HRW1,AC71,CORIANDER,,
HRW1,AC72,CORN GROMWELL,,
HRW1,AC73,CAMELINA,,
HRW1,AC74,PHACELIA,,
HRW1,AC75,OCA,,
HRW1,AC76,GERMAN CHAMOMILE,,
HRW1,AC77,CORN CHAMOMILE,,
HRW1,AC78,CORN COCKLE,,
HRW1,AC79,CORN FLOWER,,
HRW1,AC80,CORN MARIGOLD,,
HRW1,AC81,POPPY,,
HRW1,AC82,FIELD FOR-GET-ME-NOT,,
HRW1,AC83,FOX-GLOVE,,
HRW1,AC84,HAY RATTLE,,
HRW1,AC85,HEDGE BEDSTRAW,,
HRW1,AC86,TEASEL,,
HRW1,AC87,QUINOA,,
HRW1,AC88,SUNFLOWER,,
HRW1,AC89,CRESS,,
HRW1,AC90,GLADIOLI,,
HRW1,AC91,ECHIUM,,
HRW1,AC92,SORGHUM,,
HRW1,AC93,STICKY NIGHTSHADE,,
HRW1,AC94,SWEET WILLIAMS,,
HRW1,AC95,WALLFLOWER,,
HRW1,AC96,SAMPHIRE,,
HRW1,AC97,ASTER (CHINESE),,
HRW1,AC98,LARKSPUR,,
HRW1,AC99,NIGELLA,,
HRW1,CF01,CLIFFS,,
HRW1,CF02,VEGETATED SHINGLE,,
HRW1,CF03,SAND DUNES,,
HRW1,CM01,PEAT PRODUCTION,,
HRW1,CM02,TURF PRODUCTION,,
HRW1,CW01,WATERCRESS,,
HRW1,FA01,FALLOW,,
HRW1,HE02,HEATH LAND AND BRACKEN - UNGRAZEABLE,,
HRW1,HE03,HEAP - PERMANENT USE,,
HRW1,HS01,HARD STANDINGS,,
HRW1,IW02,RIVERS AND STREAMS TYPE 2,,
HRW1,IW03,RIVERS AND STREAMS TYPE 3,,
HRW1,IW05,SHINGLE,,
HRW1,IW06,FEN MARSH & SWAMP,,
HRW1,IW07,BOG,,
HRW1,LG01,CHICKPEA,,
HRW1,LG02,FENUGREEK,,
HRW1,LG03,FIELD BEANS - SPRING,,
HRW1,LG04,GREEN BEANS,,
HRW1,LG05,LENTILS,,
HRW1,LG06,LUPINS,,
HRW1,LG07,PEAS - SPRING,,
HRW1,LG08,SOYA,,
HRW1,LG09,COWPEA,,
HRW1,LG10,BIRD'S FOOT TREFOIL,,
HRW1,LG11,LUCERNE,,
HRW1,LG12,SWEET CLOVER,,
HRW1,LG13,SAINFOIN,,
HRW1,LG14,CLOVER,,
HRW1,LG15,MIXED CROP - LEGUMINOUS ONLY 1,,
HRW1,LG16,MIXED CROP - LEGUMINOUS ONLY 2,,
HRW1,LG17,MIXED CROP - LEGUMINOUS ONLY 3,,
HRW1,LG18,MIXED CROP - LEGUMINOUS ONLY 4,,
HRW1,LG19,MIXED CROP - LEGUMINOUS ONLY 5,,
HRW1,LG20,FIELD BEANS - WINTER,,
HRW1,LG21,PEAS - WINTER,,
HRW1,MS04,MINERAL EXTRACTION SITE,,
HRW1,MT01,METALLED TRACK - PERMISSIVE ACCESS,,
HRW1,MT03,ROADS,,
HRW1,MT04,RAILWAY,,
HRW1,MT05,AIRSTRIP/AIRPORTS,,
HRW1,MW01,SALT MARSH - UNGRAZEABLE,,
HRW1,MW02,TIDAL AREAS ,,
HRW1,MW03,REED BEDS,,
HRW1,MW04,INTERTIDAL HABITATS,,
HRW1,MW05,SALINE HABITATS,,
HRW1,NA02,TEMPORARY NON-AGRICULTURAL AREA,,
HRW1,NF01,SCATTERED ROCK,,
HRW1,NF02,SCATTERED BRACKEN,,
HRW1,NF03,SCATTERED SCRUB,,
HRW1,NF05,SCATTERED WATER FEATURES,,
HRW1,NF06,SCATTERED NATURAL FEATURES,,
HRW1,NF07,SCATTERED MANMADE FEATURES,,
HRW1,NF08,SCATTERED FEATURES - MIXED,,
HRW1,NR01,"RESIDENTIAL DWELLING, HOUSE",,
HRW1,NT01,GALLOP - GRASS,,
HRW1,NT03,TRACK - NATURAL SURFACE,,
HRW1,NU01,NURSERY CROPS,,
HRW1,PG01,PERMANENT GRASSLAND,,
HRW1,PL01,NON-UTILISED BANK,,
HRW1,RD01,NON-AGRI BPS ELIGIBLE,,
HRW1,RL03,SPORTS AND RECREATION,,
HRW1,RL04,GOLF COURSE ,,
HRW1,RO02,SCREE,,
HRW1,RO03,BOULDERS,,
HRW1,RO04,ROCKY OUTCROP,,
HRW1,SA02,STORAGE AREA,,
HRW1,SR01,SHORT ROTATION COPPICE,,
HRW1,ST05,STRUCTURE,,
HRW1,TC01,PERENNIAL CROPS,,
HRW1,TG01,TEMPORARY GRASS,,
HRW1,UT01,SOLAR PANEL ON NON-AGRICULTURAL LAND,,
HRW1,UT06,OTHER UTILITY,,
HRW1,UT07,WATERWORKS,,
HRW1,WF01,DRAIN/DITCH/DYKE,,
HRW1,WF03,POND,,
HRW2,AB01,FARM BUILDING,,
HRW2,AB06,GLASSHOUSE ,,
HRW2,AB09,FARMYARDS,,
HRW2,AC01,BARLEY - SPRING,,
HRW2,AC02,BASIL ,,
HRW2,AC03,BEET ,,
HRW2,AC04,BORAGE ,,
HRW2,AC05,BUCKWHEAT ,,
HRW2,AC06,CANARY SEED ,,
HRW2,AC07,CARROT ,,
HRW2,AC08,CELERY ,,
HRW2,AC09,CHICORY ,,
HRW2,AC10,DAFFODIL ,,
HRW2,AC100,RYEGRASS (ITALIAN) - GROWN FOR SEED PRODUCTION,,
HRW2,AC11,DILL ,,
HRW2,AC12,EVENING PRIMROSE ,,
HRW2,AC13,FENNEL ,,
HRW2,AC14,HEMP ,,
HRW2,AC15,LETTUCE ,,
HRW2,AC16,LINSEED - SPRING,,
HRW2,AC17,MAIZE ,,
HRW2,AC18,MILLET ,,
HRW2,AC19,OATS - SPRING,,
HRW2,AC20,ONIONS ,,
HRW2,AC21,OREGANO ,,
HRW2,AC22,PARSLEY ,,
HRW2,AC23,PARSNIPS ,,
HRW2,AC24,RYE - SPRING,,
HRW2,AC25,SAGE ,,
HRW2,AC26,SPINACH ,,
HRW2,AC27,STRAWBERRY ,,
HRW2,AC28,SWEET POTATO ,,
HRW2,AC29,THYME ,,
HRW2,AC30,TRITICALE - SPRING,,
HRW2,AC31,TULIP ,,
HRW2,AC32,WHEAT - SPRING,,
HRW2,AC33,YAM ,,
HRW2,AC34,CABBAGE - SPRING,,
HRW2,AC35,TURNIP ,,
HRW2,AC36,OILSEED - SPRING,,
HRW2,AC37,BROWN MUSTARD ,,
HRW2,AC38,MUSTARD ,,
HRW2,AC39,CRAMBE ,,
HRW2,AC40,ROCKET ,,
HRW2,AC41,RADISH ,,
HRW2,AC42,HORSERADISH ,,
HRW2,AC43,TOBACCO ,,
HRW2,AC44,POTATO ,,
HRW2,AC45,TOMATO ,,
HRW2,AC46,AUBERGINE ,,
HRW2,AC47,PEPPER ,,
HRW2,AC48,CHILLI ,,
HRW2,AC49,TREE CHILLI ,,
HRW2,AC50,SQUASH ,,
HRW2,AC51,JAPANESE PIE SQUASH ,,
HRW2,AC52,SIAM PUMPKIN ,,
HRW2,AC53,BANANA SQUASH ,,
HRW2,AC54,BUTTERNUT SQUASH ,,
HRW2,AC55,WATER MELON ,,
HRW2,AC56,CUCUMBER ,,
HRW2,AC57,MELON ,,
HRW2,AC58,MIXED CROP - GROUP 1,,
HRW2,AC59,MIXED CROP - GROUP 2,,
HRW2,AC60,MIXED CROP - GROUP 3,,
HRW2,AC61,MIXED CROP - GROUP 4,,
HRW2,AC62,MIXED CROP - GROUP 5,,
HRW2,AC63,BARLEY - WINTER,,
HRW2,AC64,LINSEED - WINTER,,
HRW2,AC65,OATS - WINTER,,
HRW2,AC66,WHEAT - WINTER,,
HRW2,AC67,OILSEED - WINTER,,
HRW2,AC68,RYE - WINTER,,
HRW2,AC69,TRITICALE - WINTER,,
HRW2,AC70,CABBAGE - WINTER,,
HRW2,AC71,CORIANDER,,
HRW2,AC72,CORN GROMWELL,,
HRW2,AC73,CAMELINA,,
HRW2,AC74,PHACELIA,,
HRW2,AC75,OCA,,
HRW2,AC76,GERMAN CHAMOMILE,,
HRW2,AC77,CORN CHAMOMILE,,
HRW2,AC78,CORN COCKLE,,
HRW2,AC79,CORN FLOWER,,
HRW2,AC80,CORN MARIGOLD,,
HRW2,AC81,POPPY,,
HRW2,AC82,FIELD FOR-GET-ME-NOT,,
HRW2,AC83,FOX-GLOVE,,
HRW2,AC84,HAY RATTLE,,
HRW2,AC85,HEDGE BEDSTRAW,,
HRW2,AC86,TEASEL,,
HRW2,AC87,QUINOA,,
HRW2,AC88,SUNFLOWER,,
HRW2,AC89,CRESS,,
HRW2,AC90,GLADIOLI,,
HRW2,AC91,ECHIUM,,
HRW2,AC92,SORGHUM,,
HRW2,AC93,STICKY NIGHTSHADE,,
HRW2,AC94,SWEET WILLIAMS,,
HRW2,AC95,WALLFLOWER,,
HRW2,AC96,SAMPHIRE,,
HRW2,AC97,ASTER (CHINESE),,
HRW2,AC98,LARKSPUR,,
HRW2,AC99,NIGELLA,,
HRW2,CF01,CLIFFS,,
HRW2,CF02,VEGETATED SHINGLE,,
HRW2,CF03,SAND DUNES,,
HRW2,CM01,PEAT PRODUCTION,,
HRW2,CM02,TURF PRODUCTION,,
HRW2,CW01,WATERCRESS,,
HRW2,FA01,FALLOW,,
HRW2,HE02,HEATH LAND AND BRACKEN - UNGRAZEABLE,,
HRW2,HE03,HEAP - PERMANENT USE,,
HRW2,HS01,HARD STANDINGS,,
HRW2,IW02,RIVERS AND STREAMS TYPE 2,,
HRW2,IW03,RIVERS AND STREAMS TYPE 3,,
HRW2,IW05,SHINGLE,,
HRW2,IW06,FEN MARSH & SWAMP,,
HRW2,IW07,BOG,,
HRW2,LG01,CHICKPEA,,
HRW2,LG02,FENUGREEK,,
HRW2,LG03,FIELD BEANS - SPRING,,
HRW2,LG04,GREEN BEANS,,
HRW2,LG05,LENTILS,,
HRW2,LG06,LUPINS,,
HRW2,LG07,PEAS - SPRING,,
HRW2,LG08,SOYA,,
HRW2,LG09,COWPEA,,
HRW2,LG10,BIRD'S FOOT TREFOIL,,
HRW2,LG11,LUCERNE,,
HRW2,LG12,SWEET CLOVER,,
HRW2,LG13,SAINFOIN,,
HRW2,LG14,CLOVER,,
HRW2,LG15,MIXED CROP - LEGUMINOUS ONLY 1,,
HRW2,LG16,MIXED CROP - LEGUMINOUS ONLY 2,,
HRW2,LG17,MIXED CROP - LEGUMINOUS ONLY 3,,
HRW2,LG18,MIXED CROP - LEGUMINOUS ONLY 4,,
HRW2,LG19,MIXED CROP - LEGUMINOUS ONLY 5,,
HRW2,LG20,FIELD BEANS - WINTER,,
HRW2,LG21,PEAS - WINTER,,
HRW2,MS04,MINERAL EXTRACTION SITE,,
HRW2,MT01,METALLED TRACK - PERMISSIVE ACCESS,,
HRW2,MT03,ROADS,,
HRW2,MT04,RAILWAY,,
HRW2,MT05,AIRSTRIP/AIRPORTS,,
HRW2,MW01,SALT MARSH - UNGRAZEABLE,,
HRW2,MW02,TIDAL AREAS ,,
HRW2,MW03,REED BEDS,,
HRW2,MW04,INTERTIDAL HABITATS,,
HRW2,MW05,SALINE HABITATS,,
HRW2,NA02,TEMPORARY NON-AGRICULTURAL AREA,,
HRW2,NF01,SCATTERED ROCK,,
HRW2,NF02,SCATTERED BRACKEN,,
HRW2,NF03,SCATTERED SCRUB,,
HRW2,NF05,SCATTERED WATER FEATURES,,
HRW2,NF06,SCATTERED NATURAL FEATURES,,
HRW2,NF07,SCATTERED MANMADE FEATURES,,
HRW2,NF08,SCATTERED FEATURES - MIXED,,
HRW2,NR01,"RESIDENTIAL DWELLING, HOUSE",,
HRW2,NT01,GALLOP - GRASS,,
HRW2,NT03,TRACK - NATURAL SURFACE,,
HRW2,NU01,NURSERY CROPS,,
HRW2,PG01,PERMANENT GRASSLAND,,
HRW2,PL01,NON-UTILISED BANK,,
HRW2,RD01,NON-AGRI BPS ELIGIBLE,,
HRW2,RL03,SPORTS AND RECREATION,,
HRW2,RL04,GOLF COURSE ,,
HRW2,RO02,SCREE,,
HRW2,RO03,BOULDERS,,
HRW2,RO04,ROCKY OUTCROP,,
HRW2,SA02,STORAGE AREA,,
HRW2,SR01,SHORT ROTATION COPPICE,,
HRW2,ST05,STRUCTURE,,
HRW2,TC01,PERENNIAL CROPS,,
HRW2,TG01,TEMPORARY GRASS,,
HRW2,UT01,SOLAR PANEL ON NON-AGRICULTURAL LAND,,
HRW2,UT06,OTHER UTILITY,,
HRW2,UT07,WATERWORKS,,
HRW2,WF01,DRAIN/DITCH/DYKE,,
HRW2,WF03,POND,,
HRW3,AB01,FARM BUILDING,,
HRW3,AB06,GLASSHOUSE ,,
HRW3,AB09,FARMYARDS,,
HRW3,AC01,BARLEY - SPRING,,
HRW3,AC02,BASIL ,,
HRW3,AC03,BEET ,,
HRW3,AC04,BORAGE ,,
HRW3,AC05,BUCKWHEAT ,,
HRW3,AC06,CANARY SEED ,,
HRW3,AC07,CARROT ,,
HRW3,AC08,CELERY ,,
HRW3,AC09,CHICORY ,,
HRW3,AC10,DAFFODIL ,,
HRW3,AC100,RYEGRASS (ITALIAN) - GROWN FOR SEED PRODUCTION,,
HRW3,AC11,DILL ,,
HRW3,AC12,EVENING PRIMROSE ,,
HRW3,AC13,FENNEL ,,
HRW3,AC14,HEMP ,,
HRW3,AC15,LETTUCE ,,
HRW3,AC16,LINSEED - SPRING,,
HRW3,AC17,MAIZE ,,
HRW3,AC18,MILLET ,,
HRW3,AC19,OATS - SPRING,,
HRW3,AC20,ONIONS ,,
HRW3,AC21,OREGANO ,,
HRW3,AC22,PARSLEY ,,
HRW3,AC23,PARSNIPS ,,
HRW3,AC24,RYE - SPRING,,
HRW3,AC25,SAGE ,,
HRW3,AC26,SPINACH ,,
HRW3,AC27,STRAWBERRY ,,
HRW3,AC28,SWEET POTATO ,,
HRW3,AC29,THYME ,,
HRW3,AC30,TRITICALE - SPRING,,
HRW3,AC31,TULIP ,,
HRW3,AC32,WHEAT - SPRING,,
HRW3,AC33,YAM ,,
HRW3,AC34,CABBAGE - SPRING,,
HRW3,AC35,TURNIP ,,
HRW3,AC36,OILSEED - SPRING,,
HRW3,AC37,BROWN MUSTARD ,,
HRW3,AC38,MUSTARD ,,
HRW3,AC39,CRAMBE ,,
HRW3,AC40,ROCKET ,,
HRW3,AC41,RADISH ,,
HRW3,AC42,HORSERADISH ,,
HRW3,AC43,TOBACCO ,,
HRW3,AC44,POTATO ,,
HRW3,AC45,TOMATO ,,
HRW3,AC46,AUBERGINE ,,
HRW3,AC47,PEPPER ,,
HRW3,AC48,CHILLI ,,
HRW3,AC49,TREE CHILLI ,,
HRW3,AC50,SQUASH ,,
HRW3,AC51,JAPANESE PIE SQUASH ,,
HRW3,AC52,SIAM PUMPKIN ,,
HRW3,AC53,BANANA SQUASH ,,
HRW3,AC54,BUTTERNUT SQUASH ,,
HRW3,AC55,WATER MELON ,,
HRW3,AC56,CUCUMBER ,,
HRW3,AC57,MELON ,,
HRW3,AC58,MIXED CROP - GROUP 1,,
HRW3,AC59,MIXED CROP - GROUP 2,,
HRW3,AC60,MIXED CROP - GROUP 3,,
HRW3,AC61,MIXED CROP - GROUP 4,,
HRW3,AC62,MIXED CROP - GROUP 5,,
HRW3,AC63,BARLEY - WINTER,,
HRW3,AC64,LINSEED - WINTER,,
HRW3,AC65,OATS - WINTER,,
HRW3,AC66,WHEAT - WINTER,,
HRW3,AC67,OILSEED - WINTER,,
HRW3,AC68,RYE - WINTER,,
HRW3,AC69,TRITICALE - WINTER,,
HRW3,AC70,CABBAGE - WINTER,,
HRW3,AC71,CORIANDER,,
HRW3,AC72,CORN GROMWELL,,
HRW3,AC73,CAMELINA,,
HRW3,AC74,PHACELIA,,
HRW3,AC75,OCA,,
HRW3,AC76,GERMAN CHAMOMILE,,
HRW3,AC77,CORN CHAMOMILE,,
HRW3,AC78,CORN COCKLE,,
HRW3,AC79,CORN FLOWER,,
HRW3,AC80,CORN MARIGOLD,,
HRW3,AC81,POPPY,,
HRW3,AC82,FIELD FOR-GET-ME-NOT,,
HRW3,AC83,FOX-GLOVE,,
HRW3,AC84,HAY RATTLE,,
HRW3,AC85,HEDGE BEDSTRAW,,
HRW3,AC86,TEASEL,,
HRW3,AC87,QUINOA,,
HRW3,AC88,SUNFLOWER,,
HRW3,AC89,CRESS,,
HRW3,AC90,GLADIOLI,,
HRW3,AC91,ECHIUM,,
HRW3,AC92,SORGHUM,,
HRW3,AC93,STICKY NIGHTSHADE,,
HRW3,AC94,SWEET WILLIAMS,,
HRW3,AC95,WALLFLOWER,,
HRW3,AC96,SAMPHIRE,,
HRW3,AC97,ASTER (CHINESE),,
HRW3,AC98,LARKSPUR,,
HRW3,AC99,NIGELLA,,
HRW3,CF01,CLIFFS,,
HRW3,CF02,VEGETATED SHINGLE,,
HRW3,CF03,SAND DUNES,,
HRW3,CM01,PEAT PRODUCTION,,
HRW3,CM02,TURF PRODUCTION,,
HRW3,CW01,WATERCRESS,,
HRW3,FA01,FALLOW,,
HRW3,HE02,HEATH LAND AND BRACKEN - UNGRAZEABLE,,
HRW3,HE03,HEAP - PERMANENT USE,,
HRW3,HS01,HARD STANDINGS,,
HRW3,IW02,RIVERS AND STREAMS TYPE 2,,
HRW3,IW03,RIVERS AND STREAMS TYPE 3,,
HRW3,IW05,SHINGLE,,
HRW3,IW06,FEN MARSH & SWAMP,,
HRW3,IW07,BOG,,
HRW3,LG01,CHICKPEA,,
HRW3,LG02,FENUGREEK,,
HRW3,LG03,FIELD BEANS - SPRING,,
HRW3,LG04,GREEN BEANS,,
HRW3,LG05,LENTILS,,
HRW3,LG06,LUPINS,,
HRW3,LG07,PEAS - SPRING,,
HRW3,LG08,SOYA,,
HRW3,LG09,COWPEA,,
HRW3,LG10,BIRD'S FOOT TREFOIL,,
HRW3,LG11,LUCERNE,,
HRW3,LG12,SWEET CLOVER,,
HRW3,LG13,SAINFOIN,,
HRW3,LG14,CLOVER,,
HRW3,LG15,MIXED CROP - LEGUMINOUS ONLY 1,,
HRW3,LG16,MIXED CROP - LEGUMINOUS ONLY 2,,
HRW3,LG17,MIXED CROP - LEGUMINOUS ONLY 3,,
HRW3,LG18,MIXED CROP - LEGUMINOUS ONLY 4,,
HRW3,LG19,MIXED CROP - LEGUMINOUS ONLY 5,,
HRW3,LG20,FIELD BEANS - WINTER,,
HRW3,LG21,PEAS - WINTER,,
HRW3,MS04,MINERAL EXTRACTION SITE,,
HRW3,MT01,METALLED TRACK - PERMISSIVE ACCESS,,
HRW3,MT03,ROADS,,
HRW3,MT04,RAILWAY,,
HRW3,MT05,AIRSTRIP/AIRPORTS,,
