OPTION CODE,LAND USE CODE,DESCRIPTION,,
AB11,AC13,FENNEL ,,
AB11,AC14,HEMP ,,
AB11,AC15,LETTUCE ,,
AB11,AC16,LINSEED - SPRING,,
AB11,AC17,MAIZE ,,
AB11,AC18,MILLET ,,
AB11,AC19,OATS - SPRING,,
AB11,AC20,ONIONS ,,
AB11,AC200,TEMPORARY ARABLE LAND USE CODE,,
AB11,AC21,OREGANO ,,
AB11,AC22,PARSLEY ,,
AB11,AC23,PARSNIPS ,,
AB11,AC24,RYE - SPRING,,
AB11,AC25,SAGE ,,
AB11,AC26,SPINACH ,,
AB11,AC27,STRAWBERRY ,,
AB11,AC28,SWEET POTATO ,,
AB11,AC29,THYME ,,
AB11,AC30,TRITICALE - SPRING,,
AB11,AC31,TULIP ,,
AB11,AC32,WHEAT - SPRING,,
AB11,AC33,YAM ,,
AB11,AC34,CABBAGE - SPRING,,
AB11,AC35,TURNIP ,,
AB11,AC36,OILSEED - SPRING,,
AB11,AC37,BROWN MUSTARD ,,
AB11,AC38,MUSTARD ,,
AB11,AC39,CRAMBE ,,
AB11,AC40,ROCKET ,,
AB11,AC41,RADISH ,,
AB11,AC42,HORSERADISH ,,
AB11,AC43,TOBACCO ,,
AB11,AC44,POTATO ,,
AB11,AC45,TOMATO ,,
AB11,AC46,AUBERGINE ,,
AB11,AC47,PEPPER ,,
AB11,AC48,CHILLI ,,
AB11,AC49,TREE CHILLI ,,
AB11,AC50,SQUASH ,,
AB11,AC51,JAPANESE PIE SQUASH ,,
AB11,AC52,SIAM PUMPKIN ,,
AB11,AC53,BANANA SQUASH ,,
AB11,AC54,BUTTERNUT SQUASH ,,
AB11,AC55,WATER MELON ,,
AB11,AC56,CUCUMBER ,,
AB11,AC57,MELON ,,
AB11,AC58,MIXED CROP - GROUP 1,,
AB11,AC59,MIXED CROP - GROUP 2,,
AB11,AC60,MIXED CROP - GROUP 3,,
AB11,AC61,MIXED CROP - GROUP 4,,
AB11,AC62,MIXED CROP - GROUP 5,,
AB11,AC63,BARLEY - WINTER,,
AB11,AC64,LINSEED - WINTER,,
AB11,AC65,OATS - WINTER,,
AB11,AC66,WHEAT - WINTER,,
AB11,AC67,OILSEED - WINTER,,
AB11,AC68,RYE - WINTER,,
AB11,AC69,TRITICALE - WINTER,,
AB11,AC70,CABBAGE - WINTER,,
AB11,AC71,CORIANDER,,
AB11,AC72,CORN GROMWELL,,
AB11,AC73,CAMELINA,,
AB11,AC74,PHACELIA,,
AB11,AC75,OCA,,
