SBI,SCHEME,ORD_SURVEY,NG_NUMBER,AGREEMENT_REF,OPTION_CODE,OPTION_START_DATE,OPTION_END_DATE,OPTION_QUANTITY,UNIT_OF_MEASURE
106912690,CS,SD8225,4048,1644743,UP1,1/1/24 0:00,12/31/28 0:00,0.3596,Hectares
106315367,CS,NY6465,9124,1644606,UP2,1/1/24 0:00,12/31/28 0:00,7.2713,Hectares
106717078,CS,SD8177,4143,1481556,BN13,7/1/23 0:00,6/30/26 0:00,425,Metres
106588276,CS,SD9362,1109,1650210,FG12,1/1/24 0:00,12/31/26 0:00,1,Units
106588276,CS,SD9262,7034,1650210,FG12,1/1/24 0:00,12/31/26 0:00,4,Units
106494627,SFI23,SK0099,9445,1658220,MOR1,2/1/24 0:00,1/31/27 0:00,2.8291,Hectares
106431507,SFI23,NY7990,6366,1679801,MOR1,1/1/24 0:00,12/31/26 0:00,32.6667,Hectares
106499713,SFI23,NY7157,7854,1692925,MOR1,5/1/24 0:00,4/30/27 0:00,75.1841,Hectares
120583203,SFI23,SD7694,8759,1703198,MOR1,4/1/24 0:00,3/31/27 0:00,9.406,Hectares
106533043,SFI23,NY9046,4383,1719241,MOR1,4/1/24 0:00,3/31/27 0:00,310.0253,Hectares
106770508,SFI Expanded Offer,SE1603,373,1956820,BND1,2/1/25 0:00,1/31/28 0:00,995,Metres
107243614,SFI Expanded Offer,NY7102,5489,1946400,UPL1,1/1/25 0:00,12/31/27 0:00,0.8856,Hectares
200424095,SFI Expanded Offer,SD7188,5506,1961400,UPL1,1/1/25 0:00,12/31/27 0:00,6.4692,Hectares
106798759,SFI Expanded Offer,SE0905,8260,1939789,CMOR1,4/1/25 0:00,3/31/28 0:00,2.1593,Hectares
200440541,SFI Expanded Offer,SD6919,68,1958960,UPL8,1/1/25 0:00,12/31/27 0:00,0.8617,Hectares
106187874,CS,SJ9766,6190,1718612,RP1,5/1/24 0:00,4/30/27 0:00,1,Units
107597042,SFI Expanded Offer,SD5956,556,1992640,CMOR1,3/1/25 0:00,2/29/28 0:00,5.8885,Hectares
107198210,SFI Expanded Offer,NY7406,3006,1982485,CMOR1,3/1/25 0:00,2/29/28 0:00,7.8283,Hectares
200241697,SFI Expanded Offer,NT8412,2102,1990959,CMOR1,3/1/25 0:00,2/29/28 0:00,61.634,Hectares
122352139,SFI Expanded Offer,SD9026,9706,1987010,UPL10,2/1/25 0:00,1/31/28 0:00,11.7948,Hectares
106549611,SFI Expanded Offer,NZ0234,8937,1960812,CMOR1,2/1/25 0:00,1/31/28 0:00,0.0111,Hectares
106459599,CS,SD6247,6814,1996553,UP3,1/1/25 0:00,12/31/34 0:00,50.2213,Hectares
200891887,SFI Expanded Offer,SD8925,2889,2017819,CMOR1,5/1/25 0:00,4/30/28 0:00,10.2365,Hectares
106438183,SFI Expanded Offer,NY5136,6934,2185786,BND1,10/1/25 0:00,9/30/28 0:00,1500,Metres
111804633,CS,SD6754,5225,463539,UP3,1/1/18 0:00,12/31/27 0:00,1.8842,Hectares
106809466,CS,NY8632,7889,993999,WD8,1/1/21 0:00,12/31/25 0:00,0.5,Hectares
106504721,CS,NY1424,3027,1057050,WD7,1/1/21 0:00,12/31/25 0:00,1.1658,Hectares
107355756,CS,NZ7308,8833,1451111,WD9,1/1/23 0:00,12/31/27 0:00,1.9725,Hectares
107264972,CS,NY7052,78,1454485,UP6,1/1/23 0:00,12/31/27 0:00,222.2461,Hectares
107264972,CS,NY6952,9325,1454485,UP6,1/1/23 0:00,12/31/27 0:00,0.0307,Hectares
106573166,CS,SE0903,8352,1462727,UP3,1/1/23 0:00,12/31/32 0:00,12.0934,Hectares
200683998,CS,SD5862,781,1456925,GS16,1/1/23 0:00,12/31/25 0:00,8.33,Hectares
113796535,CS,NT9032,577,1618593,SP6,1/1/24 0:00,12/31/28 0:00,23.37,Hectares
111491680,CS,NY1425,711,1483091,BN12,7/1/23 0:00,6/30/26 0:00,250,Metres
112179718,CS,NY6768,756,1629259,UP3,1/1/24 0:00,12/31/33 0:00,7.8082,Hectares
107626684,CS,NY7270,1479,1638677,WD9,1/1/24 0:00,12/31/28 0:00,0.75,Hectares
107626684,CS,NY7270,1479,1638677,WD8,1/1/24 0:00,12/31/28 0:00,0.75,Hectares
106323049,CS,SD7155,2389,1633345,UP1,1/1/24 0:00,12/31/28 0:00,3.6477,Hectares
200778286,CS,SD9418,1195,1643273,BN12,1/1/24 0:00,12/31/26 0:00,30,Metres
107002145,CS,NY4700,9709,1642072,FG12,1/1/24 0:00,12/31/26 0:00,1,Units
106996009,CS,NY1105,3666,1633202,WD7,1/1/24 0:00,12/31/28 0:00,0.4635,Hectares
106626626,SFI23,SD9722,3889,1658241,MOR1,12/1/23 0:00,11/30/26 0:00,0.4412,Hectares
106251679,SFI23,NY1005,2620,1652693,MOR1,12/1/23 0:00,11/30/26 0:00,10.4564,Hectares
106399687,CS,SD8214,5796,1639985,UP1,1/1/24 0:00,12/31/28 0:00,1.5921,Hectares
106588276,CS,SD9261,6649,1650210,UP2,1/1/24 0:00,12/31/28 0:00,20.2948,Hectares
106505403,SFI23,SD7347,2918,1668305,MOR1,1/1/24 0:00,12/31/26 0:00,6.803,Hectares
106328464,SFI23,SD5656,8780,1687762,MOR1,2/1/24 0:00,1/31/27 0:00,37.8938,Hectares
106801435,SFI23,SE0233,278,1799420,MOR1,7/1/24 0:00,6/30/27 0:00,1.9169,Hectares
106388742,SFI Expanded Offer,SK0360,5481,1894745,BND1,10/1/24 0:00,9/30/27 0:00,545,Metres
106340518,SFI Expanded Offer,SD6145,6181,1933776,CHRW1,1/1/25 0:00,12/31/27 0:00,256,Metres
107243614,SFI Expanded Offer,NY7102,6597,1946400,UPL8,1/1/25 0:00,12/31/27 0:00,1.0769,Hectares
106798759,SFI Expanded Offer,SE0905,8148,1939789,CMOR1,4/1/25 0:00,3/31/28 0:00,1.2306,Hectares
200440541,SFI Expanded Offer,SD6919,1371,1958960,CMOR1,1/1/25 0:00,12/31/27 0:00,0.9054,Hectares
107646713,SFI Expanded Offer,SD9510,4177,1948084,CHRW1,2/1/25 0:00,1/31/28 0:00,360,Metres
110512627,SFI Expanded Offer,SE1042,3887,1931976,UPL7,12/1/24 0:00,11/30/27 0:00,3.3822,Hectares
110512627,SFI Expanded Offer,SE1043,6316,1931976,CMOR1,12/1/24 0:00,11/30/27 0:00,2.3209,Hectares
107646713,SFI Expanded Offer,SE0416,3293,1948084,UPL1,2/1/25 0:00,1/31/28 0:00,0.3584,Hectares
106545684,SFI Expanded Offer,SE0564,5830,1936274,CMOR1,1/1/25 0:00,12/31/27 0:00,3.0586,Hectares
106538607,SFI Expanded Offer,SE1358,8298,1939384,UPL7,12/1/24 0:00,11/30/27 0:00,20.2303,Hectares
106453218,SFI Expanded Offer,SD7258,6497,1803194,BND1,12/1/24 0:00,11/30/27 0:00,215,Metres
106505403,SFI Expanded Offer,SD7347,3601,1952260,BND1,6/1/25 0:00,5/31/28 0:00,444,Metres
114809554,SFI Expanded Offer,SD2979,6614,1984946,CMOR1,3/1/25 0:00,2/29/28 0:00,9.811,Hectares
107365747,SFI Expanded Offer,SD7758,8179,1980016,UPL10,2/1/25 0:00,1/31/28 0:00,11.8169,Hectares
106549611,SFI Expanded Offer,NZ0233,355,1960812,BND1,2/1/25 0:00,1/31/28 0:00,376,Metres
107179013,CS,SD6560,8475,2000426,SP6,1/1/25 0:00,12/31/29 0:00,106.1249,Hectares
200941193,SFI Expanded Offer,NY8098,8467,1995913,UPL2,3/1/25 0:00,2/29/28 0:00,1.3277,Hectares
107608524,CS,SD6461,4928,2002570,UP3,1/1/25 0:00,12/31/34 0:00,0.9581,Hectares
107597042,CS,SD5856,5028,1958225,BN11,6/1/25 0:00,5/31/28 0:00,280,Metres
106439195,CS,NY7643,7090,1926038,BN14,4/1/25 0:00,3/31/28 0:00,100,Metres
106323049,SFI Expanded Offer,SD7056,6284,2008144,CMOR1,5/1/25 0:00,4/30/28 0:00,14.2432,Hectares
106757523,CS,SD9983,7926,1058056,UP1,1/1/21 0:00,12/31/25 0:00,9.3522,Hectares
108267136,CS,SS7244,9034,1262374,SW11,1/1/22 0:00,12/31/26 0:00,0.8554,Hectares
106935824,CS,SD8787,1515,1271683,UP2,1/1/22 0:00,12/31/26 0:00,13.0101,Hectares
108233237,CS,SD9520,3939,1262985,UP2,1/1/22 0:00,12/31/26 0:00,3.4984,Hectares
118936374,CS,SD8588,5032,1264118,UP2,1/1/22 0:00,12/31/26 0:00,4.7359,Hectares
121428499,CS,SD6251,7174,1455034,UP3,1/1/23 0:00,12/31/32 0:00,8.9349,Hectares
